ID,Aircraft
2013,Beech 24 Musketeer/Super/Sierra
2017,Beech 300/350 Super King Air
2019,Beech 33 Debonair/Bonanza
2021,Beech 35 Bonanza
2023,Beech 36 Bonanza
2025,Beech 400 Beechjet (T-1)
2027,Beech 45 Mentor/Turbo Mentor (T-34)
2029,Beech 50 Twin Bonanza (L-23/U-8)
2031,Beech 55 Baron (T-42)
2033,Beech 56 Turbo Baron
2035,Beech 58 Baron
2037,Beech 60 Duke
2039,Beech 65/70/80/88 Queen Air (L-23/U-8)
2041,Beech 73 Jet Mentor
2043,Beech 76 Duchess
2045,Beech 77 Skipper
2047,Beech 90 King Air (C-6/T-44/U-21)
2049,Beech 95 Travel Air
2051,Beech 99 Airliner
2053,Beechcraft 200/250 King Air
2055,Beechcraft 350 King Air
2057,Beechcraft 36 Bonanza
2059,Beechcraft 58 Baron
2061,Beechcraft 90 King Air
2065,Beechcraft T-6 Texan II
2085,Bell 204/205/210 (H-1/40 Iroquois)
2087,Bell 206/406 JetRanger (H-4/H-57/H-58/H-67)
2091,Bell 209/309/449 (AH-1 Cobra/Sea Cobra/Super Cobra/King Cobra/Viper)
2093,Bell 212/450 (H-1 Iroquois/Venom)
2107,Bell 407
2109,Bell 412
2111,Bell 427
2113,Bell 429
2117,Bell 47
2125,Bell P-39/400 Airacobra
2133,Bell X-1
2147,Bell XV-15 (301)
2149,Bell-Agusta BA-609
2151,Bell-Boeing V-22 Osprey (901)
2165,Bellanca 7 Champ/Citabria
2167,Bellanca 8 Decathlon/Scout
2197,Beriev A-50/Be-976
2205,Beriev Be-12/14 Chaika
2207,Beriev Be-200
2209,Beriev Be-30/32
2221,Bernard 190/191
2345,Boeing 367
2347,Boeing 377 Stratocruiser
2365,Boeing 707-...
2367,Boeing 707-100 (C-137)
2369,Boeing 707-200
2371,Boeing 707-300 (C-18/C-137/E-3/E-6/E-8)
2373,Boeing 707-400
2375,Boeing 717
2377,Boeing 720
2379,Boeing 727-...
2381,Boeing 727-100 (C-22)
2383,Boeing 727-200 (C-22)
2385,Boeing 737-...
2387,Boeing 737-100
2389,Boeing 737-200 (T-43)
2391,Boeing 737-300
2393,Boeing 737-400
2395,Boeing 737-500
2397,Boeing 737-600
2399,Boeing 737-700 (BBJ/C-40 Clipper)
2401,Boeing 737-8
2405,Boeing 737-800 (BBJ2/C-40/P-8)
2407,Boeing 737-900 (BBJ3)
2411,Boeing 747-...
2413,Boeing 747-100
2415,Boeing 747-200 (C-25/E-4)
2417,Boeing 747-300
2419,Boeing 747-400 (AL-1)
2421,Boeing 747-8
2423,Boeing 747SP
2425,Boeing 747SR
2427,Boeing 757-...
2429,Boeing 757-200 (C-32)
2433,Boeing 757-300
2435,Boeing 767-...
2437,Boeing 767-200
2439,Boeing 767-300
2441,Boeing 767-400
2443,Boeing 777-...
2445,Boeing 777-200
2447,Boeing 777-300
2449,Boeing 787-8 Dreamliner
2451,Boeing 787-9 Dreamliner
2459,Boeing B-17 Flying Fortress (299)
2461,Boeing B-29/B-50 Superfortress (345)
2463,Boeing B-47 Stratojet (450)
2465,Boeing B-52 Stratofortress (464)
2467,Boeing C-135 Stratotanker/Stratolifter
2469,Boeing C-14 (953)
2471,Boeing C-17 Globemaster III
2473,Boeing C-97 Stratofreighter (367)
2477,Boeing F-15 Eagle
2479,Boeing F/A-18/EA-18 Hornet/Growler
2481,Boeing H-46 Sea Knight (107)
2483,Boeing H-47 Chinook (234/347)
2485,Boeing H-64 Apache
2493,Boeing PT-13/17/27/N2S Kaydet (75)
2495,Boeing T-45 Goshawk
2497,Boeing V-8 Harrier
2551,Bombardier BD-100 Challenger 300/350
2553,Bombardier BD-500 CSeries
2555,Bombardier BD-700 Global Express/5000/6000 (E-11)
2557,Bombardier CL-415
2559,Bombardier CL-600 Challenger 604/605
2563,Bombardier CRJ-100/200/Challenger 800/850
2567,Bombardier CRJ-1000
2569,Bombardier CRJ-700/701/702/Challenger 870
2571,Bombardier CRJ-705/900/Challenger 890
2573,Bombardier DHC-8 Dash 8
2595,Boulton Paul P-108 Balliol/Sea Balliol
2611,Bowers Fly Baby
2669,Breguet 1150 Atlantic
2713,Bristol 105/124 Bulldog
2721,Bristol 142M/149/160 Blenheim/Bolingbroke/Bisley
2725,Bristol 156 Beaufighter
2731,Bristol 167 Brabazon
2733,Bristol 170 Freighter/Wayfarer
2735,Bristol 171 Sycamore
2739,Bristol 175 Britannia
2741,Bristol 188
2743,Bristol 192 Belvedere
2757,British Aerospace ATP/Jetstream 61
2759,British Aerospace BAC-111 One-Eleven
2761,British Aerospace BAe-125/HS-125 (C-29)
2763,British Aerospace BAe-146/Avro RJ
2765,British Aerospace BAe-748
2769,British Aerospace Harrier
2771,British Aerospace Hawk
2773,British Aerospace Jetstream 31/Super 31
2775,British Aerospace Jetstream 41
2789,Britten-Norman BN-2 Islander/Defender
2791,Britten-Norman BN-2A Mk3 Trislander
2827,Brokaw BJ-520 Bullet
2837,Brugger MB-1/2/3 Colibri
2857,Bucker Bu-131 Jungmann
2869,Budd BB-1 Pioneer
2915,CAARP CAP-10
3047,CAP Aviation CAP-10
3053,CAP Aviation CAP-232
3127,CASA C-101 Aviojet
3135,CASA C-295
3137,CASA T-35 Tamiz
3139,CASA/IPTN CN-235
3187,CCF T-6 Harvard
3637,COMAC ARJ21 Xiangfeng
2945,Cameron Balloons A Type
2951,Cameron Balloons C/Concept Type
2963,Cameron Balloons GP Type
2965,Cameron Balloons H Type
2967,Cameron Balloons N Type
2969,Cameron Balloons O Type
2975,Cameron Balloons Special Shapes
2977,Cameron Balloons TR Type
2979,Cameron Balloons V/Viva Type
2981,Cameron Balloons Z Type
3017,Canadair C-4/C-5/DC-4M/C-54 North Star/Argonaut (CL-2/4/5)
3019,Canadair CL-13 Sabre
3021,Canadair CL-215/415
3023,Canadair CL-28 Argus
3025,Canadair CL-41 Tutor/Tebuan
3027,Canadair CL-44 (Yukon)
3029,Canadair CL-600 Challenger 600/601/604
3031,Canadair CL-66 (540/580)
3033,Canadair CL-84 Dynavert
3035,Canadair CRJ-100/200
3039,Canadair T-33A-N Silver Star (CL-30)
3177,Cavalier F-51 Mustang
3237,Cessna 120/140
3239,Cessna 150
3241,Cessna 152
3243,Cessna 162 Skycatcher/LSA
3245,Cessna 170
3247,Cessna 172 Skyhawk/Cutlass/Hawk XP (T-41/Mescalero)
3249,Cessna 175 Skylark
3251,Cessna 177 Cardinal
3253,Cessna 180 Skywagon 180 (U-17)
3255,Cessna 182 Skylane
3257,Cessna 185 Skywagon/185 (U-17)
3259,Cessna 188 Agwagon/AgPickup/AgTruck/Ag Husky
3261,Cessna 190/195 (C-126/U-20)
3263,Cessna 205
3265,Cessna 206 Super Skywagon/Super Skylane/Stationair 6
3267,Cessna 207 Skywagon 207/Stationair 7/8
3269,Cessna 208 Caravan I/Cargomaster/Grand Caravan (U-27)
3271,Cessna 210 Centurion
3273,Cessna 303 Crusader
3275,Cessna 310 (U-3/L-27 Blue Canoe)
3277,Cessna 320 Skyknight/Executive Skyknight
3279,Cessna 335
3281,Cessna 336 Skymaster
3283,Cessna 337 Super Skymaster/Pressurized Skymaster (O-2)
3285,Cessna 340
3287,Cessna 350/400 Corvalis
3289,Cessna 401/402 Utililiner/Businessliner
3291,Cessna 404 Titan
3293,Cessna 411
3295,Cessna 414 Chancellor
3297,Cessna 421 Golden Eagle/Executive Commuter
3299,Cessna 425 Corsair/Conquest I
3301,Cessna 441 Conquest/Conquest II
3303,Cessna 500/501 Citation/I/ISP
3305,Cessna 510 Citation Mustang
3307,Cessna 525 CitationJet/CJ1/CJ2/CJ3/CJ4
3309,Cessna 526 CitationJet
3311,Cessna 550/551/552 Citation II/IISP/SII/Bravo (T-47)
3313,Cessna 560 Citation V/Ultra/Encore (T-47/C-35)
3315,Cessna 560XL Citation Excel/XLS
3317,Cessna 650 Citation III/VI/VII
3319,Cessna 680 Citation Sovereign/Latitude
3321,Cessna 750 Citation X
3325,Cessna A-37 Dragonfly (318)
3329,Cessna C-145/165 Airmaster
3335,Cessna E530 Scorpion
3337,Cessna NGP
3339,Cessna O-1 Bird Dog (305/321/L-19/OE)
3343,Cessna T-37 Tweety Bird (318)
3345,Cessna T-50 Bobcat (AT-8/AT-17/C-78/JRC/Crane)
3389,Champion 7
3395,Changhe WZ-10
3399,Changhe Z-11
3401,Changhe Z-8
3425,Chengdu J-10
3427,Chengdu J-20
3437,Chernov Che-27
3455,Chincul PA-A-28 Cherokee/Archer/Dakota/Warrior
3457,Chincul PA-A-28R Cherokee Arrow
3459,Chincul PA-A-31 Navajo/Chieftain/Cheyenne
3463,Chincul PA-A-32R Cherokee Lance
3467,Chincul PA-A-34 Seneca
3479,Chris Tena Mini Coupe
3481,Chrislea CH-3 Ace/Super Ace/Skyjeep
3491,Christen Pitts S-2 Special
3525,Cirrus SF-50 Vision
3527,Cirrus SR-20
3529,Cirrus SR-22
3545,Claudius Dornier CD-2 Seastar
3559,Co-Z Cozy
3627,Columbia LC-41/42 Columbia
3667,Commonwealth CA-12/13/14/19 Boomerang
3671,Commonwealth CA-17/18 Mustang (P-51)
3673,Commonwealth CA-22/25 Winjeel
3675,Commonwealth CA-26/27 Sabre
3681,Commonwealth CA-30 (MB-326)
3713,Consolidated B-24/C-87/PB4Y/P4Y Liberator
3717,Consolidated PB4Y/P4Y Privateer
3719,Consolidated PBY/A-10 Catalina/Canso (28)
3723,Convair 240/600 (C-131/T-29/Samaritan)
3725,Convair 340/440/540/580/640/5800 (C-131/R4Y/Metropolitan)
3727,Convair 880
3729,Convair 990 (Coronado)
3735,Convair B-36 Peacemaker
3737,Convair B-58 Hustler
3741,Convair F-102 Delta Dagger (8)
3743,Convair F-106 Delta Dart (8)
3745,Convair F-92 (7)
3751,Convair XFY-1 Pogo
3835,Cub Crafters CC11 Sport Cub/Carbon Cub
3837,Cub Crafters CC18 Top Cub
3839,Cub Crafters CCK-1865 Carbon Cub
3881,Curtiss 81/87 Warhawk (P-40 Tomahawk/Kittyhawk)
3889,Curtiss C-46 Commando (CW-20)
3969,Czech Aircraft Works Mermaid
3971,Czech Aircraft Works Parrot
3975,Czech Aircraft Works SportCruiser
3981,Czech Sport PS-28 Cruiser/SportCruiser (PiperSport)
4287,DG Flugzeugbau DG-1000/1001 (TG-16)
4291,DG Flugzeugbau DG-500
4293,DG Flugzeugbau DG-800/808
4319,DINFIA A-182
4521,DTA Alizes
4017,Dassault 1150/ATL-2 Atlantic/Atlantique 2
4021,Dassault Falcon (Mystere) 20/200/XX (U-25)
4023,Dassault Falcon (Mystere) 30
4025,Dassault Falcon 10/100
4027,Dassault Falcon 2000
4029,Dassault Falcon 50
4031,Dassault Falcon 5X
4033,Dassault Falcon 7X
4035,Dassault Falcon 8X
4037,Dassault Falcon 900
4051,Dassault Mercure
4053,Dassault Mirage 2000
4055,Dassault Mirage 4000
4057,Dassault Mirage 5/50
4059,Dassault Mirage F1
4065,Dassault Mirage IV
4069,Dassault Rafale
4075,Dassault-Dornier Alpha Jet
4091,De Havilland Australia DHA-3 Drover
4093,De Havilland Canada DHC-1 Chipmunk
4095,De Havilland Canada DHC-2 Beaver (L-20/U-6)
4097,De Havilland Canada DHC-3 Otter (U-1/UC)
4099,De Havilland Canada DHC-4 Caribou (C-7/AC-1/V-2)
4101,De Havilland Canada DHC-5 Buffalo (C-8/V-7)
4103,De Havilland Canada DHC-6 Twin Otter (V-18)
4105,De Havilland Canada DHC-7 Dash 7 (O-5)
4109,De Havilland Canada DHC-8 Dash 8 (E-9)
4111,De Havilland DH-100 Vampire
4117,De Havilland DH-104 Dove (Devon)
4119,De Havilland DH-106 Comet
4121,De Havilland DH-110 Sea Vixen
4123,De Havilland DH-112 Venom/Sea Venom
4125,De Havilland DH-114 Heron
4127,De Havilland DH-121 Trident
4129,De Havilland DH-125
4131,De Havilland DH-2
4133,De Havilland DH-51
4135,De Havilland DH-53 Hummingbird
4137,De Havilland DH-60 Moth
4145,De Havilland DH-80 Puss Moth
4147,De Havilland DH-82 Tiger Moth
4149,De Havilland DH-83 Fox Moth
4151,De Havilland DH-84 Dragon
4153,De Havilland DH-85 Leopard Moth
4157,De Havilland DH-87 Hornet Moth
4159,De Havilland DH-88 Comet
4161,De Havilland DH-89 Dragon Rapide (Dominie)
4163,De Havilland DH-90 Dragonfly
4165,De Havilland DH-91 Albatross
4173,De Havilland DH-98 Mosquito
4175,De Havilland DHC-1 Chipmunk
4295,Diamond D-Jet
4297,Diamond DA-20 Katana/Eclipse/Evolution
4301,Diamond DA-40 Diamond Star (T-52)
4303,Diamond DA-42 Twin Star
4307,Diamond DA-52/62
4309,Diamond HK-36 Super Dimona/Katana Xtreme
4327,Direct Fly Alto
4337,Dittmar Condor IV
4367,Dornier 228
4369,Dornier 328
4371,Dornier 328JET
4375,Dornier Do-17
4379,Dornier Do-24
4381,Dornier Do-27
4383,Dornier Do-28A/B
4385,Dornier Do-28D/128 Skyservant
4387,Dornier Do-28E TNT
4391,Dornier Do-31
4395,Dornier Do-335 Pfeil
4403,Dornier Do-X
4409,Douglas A-1 Skyraider (AD)
4413,Douglas A-26 Invader (B-26/JD)
4415,Douglas A-3 Skywarrior (A3D)
4417,Douglas A-4 Skyhawk (A4D)
4421,Douglas B-18/C-58 Bolo
4423,Douglas B-23/C-67 Dragon
4425,Douglas B-66 Destroyer
4427,Douglas C-124 Globemaster II
4429,Douglas C-133 Cargomaster
4431,Douglas C-74 Globemaster I
4437,Douglas DC-1
4439,Douglas DC-2 (C-39/42/R2D)
4441,Douglas DC-3 (C-47/53/117/R4D/Skytrain/Dakota)
4443,Douglas DC-4 (C-54/R5D/Skymaster)
4445,Douglas DC-5 (C-110/R3D)
4447,Douglas DC-6 (C-118/R6D/Liftmaster)
4449,Douglas DC-7
4451,Douglas DC-8 (Jet Trader/C-24)
4453,Douglas DC-9
4455,Douglas DWC World Cruiser
4457,Douglas F-10 Skyknight (F3D)
4461,Douglas F-6 Skyray (F4D)
4471,Douglas SBD Dauntless/A-24 Banshee
4473,Douglas X-3 Stiletto
4477,Dova DV-1 Skylark
4479,Dova DV-2 Infinity
4551,DynAero MCR
4555,Dynali H-2
4595,EADS Barracuda
4651,EFW N-20 Aiguillon
4659,EHI EH-101/CH-149 Merlin/Cormorant
4691,EKW C-36
4621,Eclipse 500
4623,Eclipse Concept Jet
4631,Edgar Percival EP-9 Prospector
4709,Elan DG-100/101
4711,Elan DG-300/303
4713,Elan DG-500/505
4755,Embraer EMB-110 Bandeirante
4757,Embraer EMB-120 Brasilia
4761,Embraer EMB-200/201/202 Ipanema/Ipanemao
4763,Embraer EMB-312 Tucano
4765,Embraer EMB-312H/314 Super Tucano
4767,Embraer EMB-326 Xavante
4769,Embraer EMB-390 (KC-390)
4773,Embraer EMB-500/505 Phenom
4775,Embraer EMB-545/550 Legacy 450/500
4777,Embraer EMB-710/712 Carioca/Tupi
4779,Embraer EMB-711 Corisco
4781,Embraer EMB-720 Minuano
4783,Embraer EMB-721 Sertanejo
4785,Embraer EMB-810 Seneca
4787,Embraer EMB-820 Navajo
4789,Embraer ERJ-135/140/145/Legacy (EMB-135/145)
4791,Embraer ERJ-170/175
4793,Embraer ERJ-190/195/Lineage
4803,Enaer T-35 Pillan (ECH-51)
4819,Enstrom 480/TH-28
4821,Enstrom F-28/280 Falcon/Sentinel/Shark
4833,Erco 415 Ercoupe
4873,Eurocopter AS-332/532/EC-225/725 Super Puma/Cougar
4875,Eurocopter AS-350/550 Ecureuil/AStar/Fennec
4877,Eurocopter AS-355/555 Ecureuil 2/TwinStar/Fennec
4879,Eurocopter AS-365/565 Dauphin 2/Panther
4881,Eurocopter EC-120 Colibri
4883,Eurocopter EC-130
4885,Eurocopter EC-135/635
4889,Eurocopter EC-155
4891,Eurocopter EC-175
4893,Eurocopter EC-665 Tiger/Tigre
4895,Eurocopter X3
4897,Eurocopter-Kawasaki BK-117/EC-145
4899,Eurofighter EF-2000 Typhoon
4925,Europa Aircraft Europa/Classic/XS
4927,Europa Aviation Europa Aviation Europa
5005,Extra EA-300
5261,FFA AS-202 Bravo
5525,FMA IA-58 Pucara
5527,FMA IA-63 Pampa
5049,Fairchild 24 (C-61 Forwarder/Argus)
5065,Fairchild A-10 Thunderbolt II
5069,Fairchild C-119/R4Q Flying Boxcar
5071,Fairchild C-123 Provider
5073,Fairchild C-82 Packet
5075,Fairchild Canada 82
5077,Fairchild Canada F-11 Husky
5079,Fairchild Dornier 328JET
5081,Fairchild Dornier 728
5083,Fairchild Dornier SA-227 Metro
5085,Fairchild F-27 (C-27)
5087,Fairchild Hiller F-27/FH-227
5089,Fairchild Hiller FH-1100
5097,Fairchild PT-19/23/26 (M-62/Cornell)
